Installed Packages
ghostscript.x86_64                    8.15.2-9.11.el5       installed           
ghostscript-devel.x86_64              8.15.2-9.11.el5       installed           
ghostscript-fonts.noarch              5.50-13.1.1           installed           
giflib.x86_64                         4.1.3-7.1.el5_3.1     installed           
giflib-devel.x86_64                   4.1.3-7.1.el5_3.1     installed           
gimp-devel.x86_64                     2:2.2.13-2.0.7.el5    installed           
gimp-libs.x86_64                      2:2.2.13-2.0.7.el5    installed           
gimp-print.x86_64                     4.2.7-22.2.el5        installed           
gimp-print-devel.x86_64               4.2.7-22.2.el5        installed           
gjdoc.x86_64                          0.7.7-12.el5          installed           
glade2.x86_64                         2.12.1-6.el5          installed           
glib.x86_64                           1:1.2.10-20.el5       installed           
glib-devel.x86_64                     1:1.2.10-20.el5       installed           
glib-java.i386                        0.2.6-3.fc6           installed           
glib-java.x86_64                      0.2.6-3.fc6           installed           
glib-java-devel.x86_64                0.2.6-3.fc6           installed           
glib2.i386                            2.12.3-4.el5_3.1      installed           
glib2.x86_64                          2.12.3-4.el5_3.1      installed           
glib2-devel.x86_64                    2.12.3-4.el5_3.1      installed           
glibc.i686                            2.5-42.el5_4.3        installed           
glibc.x86_64                          2.5-42.el5_4.3        installed           
glibc-common.x86_64                   2.5-42.el5_4.3        installed           
glibc-devel.i386                      2.5-42.el5_4.3        installed           
glibc-devel.x86_64                    2.5-42.el5_4.3        installed           
glibc-headers.x86_64                  2.5-42.el5_4.3        installed           
glibc-utils.x86_64                    2.5-42.el5_4.3        installed           
glx-utils.x86_64                      6.5.1-7.7.el5         installed           
gmp.x86_64                            4.1.4-10.el5          installed           
gmp-devel.x86_64                      4.1.4-10.el5          installed           
gnome-applets.x86_64                  1:2.16.0.1-19.el5     installed           
gnome-audio.noarch                    2.0.0-3.1.1           installed           
gnome-backgrounds.noarch              2.15.92-1.fc6         installed           
gnome-bluetooth-devel.x86_64          0.7.0-10.2.el5        installed           
gnome-bluetooth-libs.x86_64           0.7.0-10.2.el5        installed           
gnome-desktop.i386                    2.16.0-1.fc6          installed           
gnome-desktop.x86_64                  2.16.0-1.fc6          installed           
gnome-desktop-devel.x86_64            2.16.0-1.fc6          installed           
gnome-doc-utils.noarch                0.8.0-2.fc6           installed           
gnome-icon-theme.noarch               2.16.0.1-4.el5        installed           
gnome-keyring.i386                    0.6.0-1.fc6           installed           
gnome-keyring.x86_64                  0.6.0-1.fc6           installed           
gnome-keyring-devel.x86_64            0.6.0-1.fc6           installed           
gnome-mag.i386                        0.13.1-1.fc6          installed           
gnome-mag.x86_64                      0.13.1-1.fc6          installed           
gnome-mag-devel.x86_64                0.13.1-1.fc6          installed           
gnome-media.x86_64                    2.16.1-3.el5          installed           
gnome-media-devel.x86_64              2.16.1-3.el5          installed           
gnome-menus.i386                      2.16.0-2.fc6          installed           
gnome-menus.x86_64                    2.16.0-2.fc6          installed           
gnome-menus-devel.x86_64              2.16.0-2.fc6          installed           
gnome-mime-data.x86_64                2.4.2-3.1             installed           
gnome-mount.x86_64                    0.5-3.el5             installed           
gnome-mount-devel.x86_64              0.5-3.el5             installed           
gnome-netstatus.x86_64                2.12.0-5.el5          installed           
gnome-panel.i386                      2.16.1-7.el5          installed           
gnome-panel.x86_64                    2.16.1-7.el5          installed           
gnome-panel-devel.x86_64              2.16.1-7.el5          installed           
gnome-power-manager.x86_64            2.16.0-10.el5         installed           
gnome-python2.x86_64                  2.16.0-1.fc6          installed           
gnome-python2-applet.x86_64           2.16.0-3.el5          installed           
gnome-python2-bonobo.x86_64           2.16.0-1.fc6          installed           
gnome-python2-canvas.x86_64           2.16.0-1.fc6          installed           
gnome-python2-desktop.x86_64          2.16.0-3.el5          installed           
gnome-python2-extras.x86_64           2.14.2-6.el5          installed           
gnome-python2-gconf.x86_64            2.16.0-1.fc6          installed           
gnome-python2-gnomeprint.x86_64       2.16.0-3.el5          installed           
gnome-python2-gnomevfs.x86_64         2.16.0-1.fc6          installed           
gnome-python2-gtkhtml2.x86_64         2.14.2-6.el5          installed           
gnome-python2-gtksourceview.x86_64    2.16.0-3.el5          installed           
gnome-python2-libegg.x86_64           2.14.2-6.el5          installed           
gnome-screensaver.x86_64              2.16.1-8.el5          installed           
gnome-session.x86_64                  2.16.0-7.el5          installed           
gnome-speech.x86_64                   0.4.5-1.fc6           installed           
gnome-speech-devel.x86_64             0.4.5-1.fc6           installed           
gnome-system-monitor.x86_64           2.16.0-3.el5          installed           
gnome-terminal.x86_64                 2.16.0-5.3.el5        installed           
gnome-themes.noarch                   2.16.0-1.fc6          installed           
gnome-user-docs.noarch                2.16.0-2.fc6          installed           
gnome-utils.i386                      1:2.16.0-5.el5        installed           
gnome-utils.x86_64                    1:2.16.0-5.el5        installed           
gnome-utils-devel.x86_64              1:2.16.0-5.el5        installed           
gnome-vfs2.i386                       2.16.2-4.el5          installed           
gnome-vfs2.x86_64                     2.16.2-4.el5          installed           
gnome-vfs2-devel.x86_64               2.16.2-4.el5          installed           
gnome-vfs2-smb.x86_64                 2.16.2-4.el5          installed           
gnome-volume-manager.x86_64           2.15.0-5.el5          installed           
gnupg.x86_64                          1.4.5-14              installed           
gnutls.i386                           1.4.1-3.el5_3.5       installed           
gnutls.x86_64                         1.4.1-3.el5_3.5       installed           
gnutls-devel.x86_64                   1.4.1-3.el5_3.5       installed           
gok.x86_64                            1.2.0-2.el5           installed           
gok-devel.x86_64                      1.2.0-2.el5           installed           
gphoto2.x86_64                        2.2.0-3.el5           installed           
gphoto2-devel.x86_64                  2.2.0-3.el5           installed           
gpm.i386                              1.20.1-74.1           installed           
gpm.x86_64                            1.20.1-74.1           installed           
gpm-devel.x86_64                      1.20.1-74.1           installed           
grep.x86_64                           2.5.1-55.el5          installed           
groff.x86_64                          1.18.1.1-11.1         installed           
grub.x86_64                           0.97-13.5             installed           
gstreamer.i386                        0.10.20-3.el5         installed           
gstreamer.x86_64                      0.10.20-3.el5         installed           
gstreamer-devel.x86_64                0.10.20-3.el5         installed           
gstreamer-plugins-base.x86_64         0.10.20-3.0.1.el5_3   installed           
gstreamer-plugins-base-devel.x86_64   0.10.20-3.0.1.el5_3   installed           
gstreamer-plugins-good.x86_64         0.10.9-1.el5_3.2      installed           
gstreamer-plugins-good-devel.x86_64   0.10.9-1.el5_3.2      installed           
gstreamer-tools.x86_64                0.10.20-3.el5         installed           
gthumb.x86_64                         2.7.8-8.el5           installed           
gtk+.x86_64                           1:1.2.10-56.el5       installed           
gtk+-devel.x86_64                     1:1.2.10-56.el5       installed           
gtk-vnc.x86_64                        0.3.8-3.el5           installed           
gtk-vnc-devel.x86_64                  0.3.8-3.el5           installed           
gtk2.i386                             2.10.4-20.el5         installed           
gtk2.x86_64                           2.10.4-20.el5         installed           
gtk2-devel.x86_64                     2.10.4-20.el5         installed           
